"3","4","name","id","sis_id","root_account","section","section_id","section_sis_id","submitted","attempt","178498142: No more than 2-3 sentences
Pick a game of your choosing (board game, card game, video game, etc.). Think of two clear metrics you might be effective as rewards or penalties for an RL agent being trained to play this game. Briefly justify why you think each metric might be effective.","178498161: No more than 2-3 sentences
For the game you picked in question #1, provide an example that clearly illustrates a situation where it might be beneficial for your agent to prioritize exploration over exploitation. Briefly explain your reasoning.","178498165: No more than 2-3 sentences
List 2 potential challenges with implementing an RL agent for the game you chose in question #1. Briefly explain the problem / concern that each present.","n correct","n incorrect","score"
"3","4","Student_1","1","","StudentAccount_1","Section 12958","2624654","2247_12958_","2024-11-26 20:16:57 UTC","1","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.
","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.","3","0","10"
"3","4","Student_2","2","","StudentAccount_2","Section 12958","2624654","2247_12958_","2024-11-26 20:17:01 UTC","1","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.
","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.","3","0","10"
"3","4","Student_3","3","","StudentAccount_3","Section 12958","2624654","2247_12958_","2024-11-26 20:15:55 UTC","1","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.
","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.","3","0","10"
"3","2","Student_4","4","","StudentAccount_4","Section 12958","2624654","2247_12958_","2024-11-26 20:13:12 UTC","1","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.
","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.","3","0","8"
"3","4","Student_5","5","","StudentAccount_5","Section 12958","2624654","2247_12958_","2024-11-26 20:16:16 UTC","1","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.
","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.","3","0","10"
"3","0","Student_6","6","","StudentAccount_6","Section 12958","2624654","2247_12958_","2024-11-26 20:17:20 UTC","1","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.
","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.","3","0","6"
"3","4","Student_7","7","","StudentAccount_7","Section 12958","2624654","2247_12958_","2024-11-26 20:14:13 UTC","1","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.
","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.","3","0","10"
"3","4","Student_8","8","","StudentAccount_8","Section 12958","2624654","2247_12958_","2024-11-26 20:17:10 UTC","1","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.
","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.","3","0","10"
